date,age,location,realized7
2023-03-19,80+,DE,NA
2023-03-19,alle,DE,NA
2023-03-18,00-04,DE,NA
2023-03-18,05-14,DE,NA
2023-03-18,15-34,DE,NA
2023-03-18,35-59,DE,NA
2023-03-18,60-79,DE,NA
2023-03-18,80+,DE,NA
2023-03-18,alle,DE,NA
2023-03-17,00-04,DE,NA
2023-03-17,05-14,DE,NA
2023-03-17,15-34,DE,NA
2023-03-17,35-59,DE,NA
2023-03-17,60-79,DE,NA
2023-03-17,80+,DE,NA
2023-03-17,alle,DE,NA
2023-03-16,00-04,DE,NA
2023-03-16,05-14,DE,NA
2023-03-16,15-34,DE,NA
2023-03-16,35-59,DE,NA
2023-03-16,60-79,DE,NA
2023-03-16,80+,DE,NA
2023-03-16,alle,DE,NA
2023-03-15,00-04,DE,NA
2023-03-15,05-14,DE,NA
2023-03-15,15-34,DE,NA
2023-03-15,35-59,DE,NA
2023-03-15,60-79,DE,NA
2023-03-15,80+,DE,NA
2023-03-15,alle,DE,NA
2023-03-14,00-04,DE,NA
2023-03-14,05-14,DE,NA
2023-03-14,15-34,DE,NA
2023-03-14,35-59,DE,NA
2023-03-14,60-79,DE,NA
2023-03-14,80+,DE,NA
2023-03-14,alle,DE,NA
2023-03-13,00-04,DE,NA
2023-03-13,05-14,DE,NA
2023-03-13,15-34,DE,NA
2023-03-13,35-59,DE,NA
2023-03-13,60-79,DE,NA
2023-03-13,80+,DE,NA
2023-03-13,alle,DE,NA
2023-03-12,00-04,DE,NA
2023-03-12,05-14,DE,NA
2023-03-12,15-34,DE,NA
2023-03-12,35-59,DE,NA
2023-03-12,60-79,DE,NA
2023-03-12,80+,DE,NA
2023-03-12,alle,DE,NA
2023-03-11,00-04,DE,NA
2023-03-11,05-14,DE,NA
2023-03-11,15-34,DE,NA
2023-03-11,35-59,DE,NA
2023-03-11,60-79,DE,NA
2023-03-11,80+,DE,NA
2023-03-11,alle,DE,NA
2023-03-10,00-04,DE,NA
2023-03-10,05-14,DE,NA
2023-03-10,15-34,DE,NA
2023-03-10,35-59,DE,NA
2023-03-10,60-79,DE,NA
2023-03-10,80+,DE,NA
2023-03-10,alle,DE,NA
2023-03-09,00-04,DE,NA
2023-03-09,05-14,DE,NA
2023-03-09,15-34,DE,NA
2023-03-09,35-59,DE,NA
2023-03-09,60-79,DE,NA
2023-03-09,80+,DE,NA
2023-03-09,alle,DE,NA
2023-03-08,00-04,DE,NA
2023-03-08,05-14,DE,NA
2023-03-08,15-34,DE,NA
2023-03-08,35-59,DE,NA
2023-03-08,60-79,DE,NA
2023-03-08,80+,DE,NA
2023-03-08,alle,DE,NA
2023-03-07,00-04,DE,NA
2023-03-07,05-14,DE,NA
2023-03-07,15-34,DE,NA
2023-03-07,35-59,DE,NA
2023-03-07,60-79,DE,NA
2023-03-07,80+,DE,NA
2023-03-07,alle,DE,NA
2023-03-06,00-04,DE,NA
2023-03-06,05-14,DE,NA
2023-03-06,15-34,DE,NA
2023-03-06,35-59,DE,NA
2023-03-06,60-79,DE,NA
2023-03-06,80+,DE,NA
2023-03-06,alle,DE,NA
2023-03-05,00-04,DE,NA
2023-03-05,05-14,DE,NA
2023-03-05,15-34,DE,NA
2023-03-05,35-59,DE,NA
2023-03-05,60-79,DE,NA
2023-03-05,80+,DE,NA
2023-03-05,alle,DE,NA
2023-03-04,00-04,DE,NA
2023-03-04,05-14,DE,NA
2023-03-04,15-34,DE,NA
2023-03-04,35-59,DE,NA
2023-03-04,60-79,DE,NA
2023-03-04,80+,DE,NA
2023-03-04,alle,DE,NA
2023-03-03,00-04,DE,189
2023-03-03,05-14,DE,60
2023-03-03,15-34,DE,606
2023-03-03,35-59,DE,1323
2023-03-03,60-79,DE,3148
2023-03-03,80+,DE,3715
2023-03-03,alle,DE,9046
2023-03-02,00-04,DE,197
2023-03-02,05-14,DE,56
2023-03-02,15-34,DE,642
2023-03-02,35-59,DE,1364
2023-03-02,60-79,DE,3326
2023-03-02,80+,DE,3821
2023-03-02,alle,DE,9411
2023-03-01,00-04,DE,206
2023-03-01,05-14,DE,59
2023-03-01,15-34,DE,676
2023-03-01,35-59,DE,1436
2023-03-01,60-79,DE,3454
2023-03-01,80+,DE,3991
2023-03-01,alle,DE,9831
2023-02-28,00-04,DE,200
2023-02-28,05-14,DE,55
2023-02-28,15-34,DE,689
2023-02-28,35-59,DE,1408
2023-02-28,60-79,DE,3569
2023-02-28,80+,DE,4150
2023-02-28,alle,DE,10078
2023-02-27,00-04,DE,198
2023-02-27,05-14,DE,53
2023-02-27,15-34,DE,629
2023-02-27,35-59,DE,1358
2023-02-27,60-79,DE,3472
2023-02-27,80+,DE,3992
2023-02-27,alle,DE,9710
2023-02-26,00-04,DE,204
2023-02-26,05-14,DE,52
2023-02-26,15-34,DE,626
2023-02-26,35-59,DE,1359
2023-02-26,60-79,DE,3489
2023-02-26,80+,DE,4019
2023-02-26,alle,DE,9757
2023-02-25,00-04,DE,199
2023-02-25,05-14,DE,51
2023-02-25,15-34,DE,628
2023-02-25,35-59,DE,1345
2023-02-25,60-79,DE,3468
2023-02-25,80+,DE,4014
2023-02-25,alle,DE,9713
2023-02-24,00-04,DE,196
2023-02-24,05-14,DE,53
2023-02-24,15-34,DE,612
2023-02-24,35-59,DE,1330
2023-02-24,60-79,DE,3434
2023-02-24,80+,DE,4038
2023-02-24,alle,DE,9671
2023-02-23,00-04,DE,192
2023-02-23,05-14,DE,49
2023-02-23,15-34,DE,586
2023-02-23,35-59,DE,1333
2023-02-23,60-79,DE,3352
2023-02-23,80+,DE,4009
2023-02-23,alle,DE,9528
2023-02-22,00-04,DE,193
2023-02-22,05-14,DE,51
2023-02-22,15-34,DE,565
2023-02-22,35-59,DE,1279
2023-02-22,60-79,DE,3305
2023-02-22,80+,DE,3935
2023-02-22,alle,DE,9330
2023-02-21,00-04,DE,187
2023-02-21,05-14,DE,50
2023-02-21,15-34,DE,547
2023-02-21,35-59,DE,1299
2023-02-21,60-79,DE,3220
2023-02-21,80+,DE,3749
2023-02-21,alle,DE,9055
2023-02-20,00-04,DE,173
2023-02-20,05-14,DE,55
2023-02-20,15-34,DE,564
2023-02-20,35-59,DE,1309
2023-02-20,60-79,DE,3213
2023-02-20,80+,DE,3809
2023-02-20,alle,DE,9126
2023-02-19,00-04,DE,171
2023-02-19,05-14,DE,55
2023-02-19,15-34,DE,573
2023-02-19,35-59,DE,1302
2023-02-19,60-79,DE,3164
2023-02-19,80+,DE,3771
2023-02-19,alle,DE,9039
2023-02-18,00-04,DE,173
2023-02-18,05-14,DE,55
2023-02-18,15-34,DE,577
2023-02-18,35-59,DE,1310
2023-02-18,60-79,DE,3164
2023-02-18,80+,DE,3749
2023-02-18,alle,DE,9031
2023-02-17,00-04,DE,172
2023-02-17,05-14,DE,61
2023-02-17,15-34,DE,573
2023-02-17,35-59,DE,1289
2023-02-17,60-79,DE,3057
2023-02-17,80+,DE,3595
2023-02-17,alle,DE,8750
2023-02-16,00-04,DE,164
2023-02-16,05-14,DE,72
2023-02-16,15-34,DE,560
2023-02-16,35-59,DE,1257
2023-02-16,60-79,DE,2967
2023-02-16,80+,DE,3492
2023-02-16,alle,DE,8515
2023-02-15,00-04,DE,159
2023-02-15,05-14,DE,71
2023-02-15,15-34,DE,539
2023-02-15,35-59,DE,1210
2023-02-15,60-79,DE,2833
2023-02-15,80+,DE,3312
2023-02-15,alle,DE,8128
2023-02-14,00-04,DE,148
2023-02-14,05-14,DE,75
2023-02-14,15-34,DE,495
2023-02-14,35-59,DE,1143
2023-02-14,60-79,DE,2661
2023-02-14,80+,DE,3172
2023-02-14,alle,DE,7708
2023-02-13,00-04,DE,169
2023-02-13,05-14,DE,75
2023-02-13,15-34,DE,460
2023-02-13,35-59,DE,1081
2023-02-13,60-79,DE,2485
2023-02-13,80+,DE,2968
2023-02-13,alle,DE,7252
2023-02-12,00-04,DE,169
2023-02-12,05-14,DE,76
2023-02-12,15-34,DE,450
2023-02-12,35-59,DE,1077
2023-02-12,60-79,DE,2486
2023-02-12,80+,DE,2921
2023-02-12,alle,DE,7193
2023-02-11,00-04,DE,169
2023-02-11,05-14,DE,74
2023-02-11,15-34,DE,443
2023-02-11,35-59,DE,1078
2023-02-11,60-79,DE,2466
2023-02-11,80+,DE,2890
2023-02-11,alle,DE,7134
2023-02-10,00-04,DE,168
2023-02-10,05-14,DE,76
2023-02-10,15-34,DE,451
2023-02-10,35-59,DE,1060
2023-02-10,60-79,DE,2442
2023-02-10,80+,DE,2877
2023-02-10,alle,DE,7090
2023-02-09,00-04,DE,167
2023-02-09,05-14,DE,70
2023-02-09,15-34,DE,440
2023-02-09,35-59,DE,1040
2023-02-09,60-79,DE,2349
2023-02-09,80+,DE,2739
2023-02-09,alle,DE,6822
2023-02-08,00-04,DE,162
2023-02-08,05-14,DE,71
2023-02-08,15-34,DE,437
2023-02-08,35-59,DE,1010
2023-02-08,60-79,DE,2236
2023-02-08,80+,DE,2689
2023-02-08,alle,DE,6621
2023-02-07,00-04,DE,164
2023-02-07,05-14,DE,64
2023-02-07,15-34,DE,453
2023-02-07,35-59,DE,966
2023-02-07,60-79,DE,2215
2023-02-07,80+,DE,2586
2023-02-07,alle,DE,6453
2023-02-06,00-04,DE,144
2023-02-06,05-14,DE,65
2023-02-06,15-34,DE,449
2023-02-06,35-59,DE,906
2023-02-06,60-79,DE,2080
2023-02-06,80+,DE,2401
2023-02-06,alle,DE,6050
2023-02-05,00-04,DE,139
2023-02-05,05-14,DE,68
2023-02-05,15-34,DE,449
2023-02-05,35-59,DE,892
2023-02-05,60-79,DE,2070
2023-02-05,80+,DE,2403
2023-02-05,alle,DE,6027
2023-02-04,00-04,DE,138
2023-02-04,05-14,DE,69
2023-02-04,15-34,DE,447
2023-02-04,35-59,DE,880
2023-02-04,60-79,DE,2051
2023-02-04,80+,DE,2386
2023-02-04,alle,DE,5978
2023-02-03,00-04,DE,139
2023-02-03,05-14,DE,69
2023-02-03,15-34,DE,411
2023-02-03,35-59,DE,850
2023-02-03,60-79,DE,1977
2023-02-03,80+,DE,2298
2023-02-03,alle,DE,5751
2023-02-02,00-04,DE,141
2023-02-02,05-14,DE,70
2023-02-02,15-34,DE,420
2023-02-02,35-59,DE,823
2023-02-02,60-79,DE,1948
2023-02-02,80+,DE,2305
2023-02-02,alle,DE,5713
2023-02-01,00-04,DE,142
2023-02-01,05-14,DE,69
2023-02-01,15-34,DE,401
2023-02-01,35-59,DE,776
2023-02-01,60-79,DE,1892
2023-02-01,80+,DE,2167
2023-02-01,alle,DE,5454
2023-01-31,00-04,DE,138
2023-01-31,05-14,DE,77
2023-01-31,15-34,DE,379
2023-01-31,35-59,DE,743
2023-01-31,60-79,DE,1804
2023-01-31,80+,DE,2119
2023-01-31,alle,DE,5268
2023-01-30,00-04,DE,130
2023-01-30,05-14,DE,78
2023-01-30,15-34,DE,356
2023-01-30,35-59,DE,703
2023-01-30,60-79,DE,1740
2023-01-30,80+,DE,2062
2023-01-30,alle,DE,5076
2023-01-29,00-04,DE,134
2023-01-29,05-14,DE,75
2023-01-29,15-34,DE,356
2023-01-29,35-59,DE,699
2023-01-29,60-79,DE,1724
2023-01-29,80+,DE,2045
2023-01-29,alle,DE,5040
2023-01-28,00-04,DE,136
2023-01-28,05-14,DE,76
2023-01-28,15-34,DE,353
2023-01-28,35-59,DE,687
2023-01-28,60-79,DE,1721
2023-01-28,80+,DE,2036
2023-01-28,alle,DE,5016
2023-01-27,00-04,DE,139
2023-01-27,05-14,DE,67
2023-01-27,15-34,DE,354
2023-01-27,35-59,DE,655
2023-01-27,60-79,DE,1667
2023-01-27,80+,DE,1957
2023-01-27,alle,DE,4846
2023-01-26,00-04,DE,139
2023-01-26,05-14,DE,62
2023-01-26,15-34,DE,320
2023-01-26,35-59,DE,625
2023-01-26,60-79,DE,1615
2023-01-26,80+,DE,1929
2023-01-26,alle,DE,4699
2023-01-25,00-04,DE,132
2023-01-25,05-14,DE,59
2023-01-25,15-34,DE,314
2023-01-25,35-59,DE,640
2023-01-25,60-79,DE,1598
2023-01-25,80+,DE,1931
2023-01-25,alle,DE,4682
2023-01-24,00-04,DE,130
2023-01-24,05-14,DE,52
2023-01-24,15-34,DE,302
2023-01-24,35-59,DE,629
2023-01-24,60-79,DE,1561
2023-01-24,80+,DE,1914
2023-01-24,alle,DE,4597
2023-01-23,00-04,DE,135
2023-01-23,05-14,DE,44
2023-01-23,15-34,DE,305
2023-01-23,35-59,DE,642
2023-01-23,60-79,DE,1621
2023-01-23,80+,DE,2044
2023-01-23,alle,DE,4800
2023-01-22,00-04,DE,134
2023-01-22,05-14,DE,46
2023-01-22,15-34,DE,299
2023-01-22,35-59,DE,641
2023-01-22,60-79,DE,1640
2023-01-22,80+,DE,2029
2023-01-22,alle,DE,4798
2023-01-21,00-04,DE,130
2023-01-21,05-14,DE,45
2023-01-21,15-34,DE,301
2023-01-21,35-59,DE,652
2023-01-21,60-79,DE,1662
2023-01-21,80+,DE,2019
2023-01-21,alle,DE,4817
2023-01-20,00-04,DE,120
2023-01-20,05-14,DE,48
2023-01-20,15-34,DE,295
2023-01-20,35-59,DE,685
2023-01-20,60-79,DE,1746
2023-01-20,80+,DE,2107
2023-01-20,alle,DE,5008
2023-01-19,00-04,DE,121
2023-01-19,05-14,DE,47
2023-01-19,15-34,DE,296
2023-01-19,35-59,DE,683
2023-01-19,60-79,DE,1848
2023-01-19,80+,DE,2140
2023-01-19,alle,DE,5141
2023-01-18,00-04,DE,127
2023-01-18,05-14,DE,44
2023-01-18,15-34,DE,301
2023-01-18,35-59,DE,694
2023-01-18,60-79,DE,1967
2023-01-18,80+,DE,2264
2023-01-18,alle,DE,5405
2023-01-17,00-04,DE,125
2023-01-17,05-14,DE,40
2023-01-17,15-34,DE,333
2023-01-17,35-59,DE,744
2023-01-17,60-79,DE,2118
2023-01-17,80+,DE,2443
2023-01-17,alle,DE,5810
2023-01-16,00-04,DE,129
2023-01-16,05-14,DE,42
2023-01-16,15-34,DE,360
2023-01-16,35-59,DE,837
2023-01-16,60-79,DE,2410
2023-01-16,80+,DE,2728
2023-01-16,alle,DE,6513
2023-01-15,00-04,DE,127
2023-01-15,05-14,DE,40
2023-01-15,15-34,DE,364
2023-01-15,35-59,DE,845
2023-01-15,60-79,DE,2420
2023-01-15,80+,DE,2765
2023-01-15,alle,DE,6567
2023-01-14,00-04,DE,129
2023-01-14,05-14,DE,42
2023-01-14,15-34,DE,371
2023-01-14,35-59,DE,851
2023-01-14,60-79,DE,2425
2023-01-14,80+,DE,2827
2023-01-14,alle,DE,6651
2023-01-13,00-04,DE,130
2023-01-13,05-14,DE,37
2023-01-13,15-34,DE,382
2023-01-13,35-59,DE,856
2023-01-13,60-79,DE,2438
2023-01-13,80+,DE,2860
2023-01-13,alle,DE,6709
2023-01-12,00-04,DE,139
