date,age,location,realized7
2022-11-06,0-60,DE-BB,89
2022-11-06,0-60,DE-BE,93
2022-11-06,0-60,DE-BW,171
2022-11-06,0-60,DE-BY,262
2022-11-06,0-60,DE-HB,3
2022-11-06,0-60,DE-HE,145
2022-11-06,0-60,DE-HH,35
2022-11-06,0-60,DE-MV,51
2022-11-06,0-60,DE-NI,105
2022-11-06,0-60,DE-NW,514
2022-11-06,0-60,DE-RP,79
2022-11-06,0-60,DE-SH,70
2022-11-06,0-60,DE-SL,22
2022-11-06,0-60,DE-SN,106
2022-11-06,0-60,DE-ST,54
2022-11-06,0-60,DE-TH,46
2022-11-06,60+,DE-BB,305
2022-11-06,60+,DE-BE,274
2022-11-06,60+,DE-BW,603
2022-11-06,60+,DE-BY,1049
2022-11-06,60+,DE-HB,33
2022-11-06,60+,DE-HE,425
2022-11-06,60+,DE-HH,128
2022-11-06,60+,DE-MV,212
2022-11-06,60+,DE-NI,413
2022-11-06,60+,DE-NW,1729
2022-11-06,60+,DE-RP,290
2022-11-06,60+,DE-SH,259
2022-11-06,60+,DE-SL,81
2022-11-06,60+,DE-SN,396
2022-11-06,60+,DE-ST,291
2022-11-06,60+,DE-TH,245
2022-11-06,alle,DE-BB,394
2022-11-06,alle,DE-BE,367
2022-11-06,alle,DE-BW,775
2022-11-06,alle,DE-BY,1313
2022-11-06,alle,DE-HB,36
2022-11-06,alle,DE-HE,570
2022-11-06,alle,DE-HH,163
2022-11-06,alle,DE-MV,263
2022-11-06,alle,DE-NI,519
2022-11-06,alle,DE-NW,2244
2022-11-06,alle,DE-RP,369
2022-11-06,alle,DE-SH,333
2022-11-06,alle,DE-SL,103
2022-11-06,alle,DE-SN,502
2022-11-06,alle,DE-ST,345
2022-11-06,alle,DE-TH,291
2022-11-05,0-60,DE-BB,92
2022-11-05,0-60,DE-BE,94
2022-11-05,0-60,DE-BW,168
2022-11-05,0-60,DE-BY,261
2022-11-05,0-60,DE-HB,3
2022-11-05,0-60,DE-HE,145
2022-11-05,0-60,DE-HH,34
2022-11-05,0-60,DE-MV,49
2022-11-05,0-60,DE-NI,103
2022-11-05,0-60,DE-NW,512
2022-11-05,0-60,DE-RP,81
2022-11-05,0-60,DE-SH,76
2022-11-05,0-60,DE-SL,22
2022-11-05,0-60,DE-SN,105
2022-11-05,0-60,DE-ST,52
2022-11-05,0-60,DE-TH,43
2022-11-05,60+,DE-BB,308
2022-11-05,60+,DE-BE,272
2022-11-05,60+,DE-BW,596
2022-11-05,60+,DE-BY,1048
2022-11-05,60+,DE-HB,33
2022-11-05,60+,DE-HE,423
2022-11-05,60+,DE-HH,124
2022-11-05,60+,DE-MV,213
2022-11-05,60+,DE-NI,413
2022-11-05,60+,DE-NW,1733
2022-11-05,60+,DE-RP,296
2022-11-05,60+,DE-SH,265
2022-11-05,60+,DE-SL,81
2022-11-05,60+,DE-SN,403
2022-11-05,60+,DE-ST,291
2022-11-05,60+,DE-TH,248
2022-11-05,alle,DE-BB,400
2022-11-05,alle,DE-BE,366
2022-11-05,alle,DE-BW,765
2022-11-05,alle,DE-BY,1311
2022-11-05,alle,DE-HB,36
2022-11-05,alle,DE-HE,568
2022-11-05,alle,DE-HH,158
2022-11-05,alle,DE-MV,262
2022-11-05,alle,DE-NI,517
2022-11-05,alle,DE-NW,2247
2022-11-05,alle,DE-RP,377
2022-11-05,alle,DE-SH,344
2022-11-05,alle,DE-SL,103
2022-11-05,alle,DE-SN,508
2022-11-05,alle,DE-ST,343
2022-11-05,alle,DE-TH,291
2022-11-04,0-60,DE-BB,91
2022-11-04,0-60,DE-BE,96
2022-11-04,0-60,DE-BW,174
2022-11-04,0-60,DE-BY,279
2022-11-04,0-60,DE-HB,3
2022-11-04,0-60,DE-HE,155
2022-11-04,0-60,DE-HH,33
2022-11-04,0-60,DE-MV,44
2022-11-04,0-60,DE-NI,109
2022-11-04,0-60,DE-NW,494
2022-11-04,0-60,DE-RP,87
2022-11-04,0-60,DE-SH,70
2022-11-04,0-60,DE-SL,19
2022-11-04,0-60,DE-SN,101
2022-11-04,0-60,DE-ST,49
2022-11-04,0-60,DE-TH,45
2022-11-04,60+,DE-BB,314
2022-11-04,60+,DE-BE,274
2022-11-04,60+,DE-BW,615
2022-11-04,60+,DE-BY,1098
2022-11-04,60+,DE-HB,32
2022-11-04,60+,DE-HE,447
2022-11-04,60+,DE-HH,108
2022-11-04,60+,DE-MV,229
2022-11-04,60+,DE-NI,434
2022-11-04,60+,DE-NW,1748
2022-11-04,60+,DE-RP,305
2022-11-04,60+,DE-SH,260
2022-11-04,60+,DE-SL,87
2022-11-04,60+,DE-SN,424
2022-11-04,60+,DE-ST,288
2022-11-04,60+,DE-TH,252
2022-11-04,alle,DE-BB,405
2022-11-04,alle,DE-BE,370
2022-11-04,alle,DE-BW,790
2022-11-04,alle,DE-BY,1379
2022-11-04,alle,DE-HB,35
2022-11-04,alle,DE-HE,602
2022-11-04,alle,DE-HH,141
2022-11-04,alle,DE-MV,273
2022-11-04,alle,DE-NI,543
2022-11-04,alle,DE-NW,2245
2022-11-04,alle,DE-RP,393
2022-11-04,alle,DE-SH,333
2022-11-04,alle,DE-SL,106
2022-11-04,alle,DE-SN,525
2022-11-04,alle,DE-ST,337
2022-11-04,alle,DE-TH,297
2022-11-03,0-60,DE-BB,91
2022-11-03,0-60,DE-BE,101
2022-11-03,0-60,DE-BW,168
2022-11-03,0-60,DE-BY,292
2022-11-03,0-60,DE-HB,3
2022-11-03,0-60,DE-HE,150
2022-11-03,0-60,DE-HH,24
2022-11-03,0-60,DE-MV,42
2022-11-03,0-60,DE-NI,103
2022-11-03,0-60,DE-NW,517
2022-11-03,0-60,DE-RP,88
2022-11-03,0-60,DE-SH,62
2022-11-03,0-60,DE-SL,24
2022-11-03,0-60,DE-SN,99
2022-11-03,0-60,DE-ST,57
2022-11-03,0-60,DE-TH,49
2022-11-03,60+,DE-BB,326
2022-11-03,60+,DE-BE,307
2022-11-03,60+,DE-BW,646
2022-11-03,60+,DE-BY,1172
2022-11-03,60+,DE-HB,33
2022-11-03,60+,DE-HE,465
2022-11-03,60+,DE-HH,92
2022-11-03,60+,DE-MV,222
2022-11-03,60+,DE-NI,447
2022-11-03,60+,DE-NW,1805
2022-11-03,60+,DE-RP,284
2022-11-03,60+,DE-SH,254
2022-11-03,60+,DE-SL,100
2022-11-03,60+,DE-SN,411
2022-11-03,60+,DE-ST,301
2022-11-03,60+,DE-TH,254
2022-11-03,alle,DE-BB,417
2022-11-03,alle,DE-BE,408
2022-11-03,alle,DE-BW,817
2022-11-03,alle,DE-BY,1466
2022-11-03,alle,DE-HB,36
2022-11-03,alle,DE-HE,615
2022-11-03,alle,DE-HH,116
2022-11-03,alle,DE-MV,265
2022-11-03,alle,DE-NI,550
2022-11-03,alle,DE-NW,2325
2022-11-03,alle,DE-RP,373
2022-11-03,alle,DE-SH,318
2022-11-03,alle,DE-SL,124
2022-11-03,alle,DE-SN,510
2022-11-03,alle,DE-ST,358
2022-11-03,alle,DE-TH,303
2022-11-02,0-60,DE-BB,90
2022-11-02,0-60,DE-BE,110
2022-11-02,0-60,DE-BW,146
2022-11-02,0-60,DE-BY,264
2022-11-02,0-60,DE-HB,5
2022-11-02,0-60,DE-HE,138
2022-11-02,0-60,DE-HH,36
2022-11-02,0-60,DE-MV,49
2022-11-02,0-60,DE-NI,97
2022-11-02,0-60,DE-NW,542
2022-11-02,0-60,DE-RP,86
2022-11-02,0-60,DE-SH,58
2022-11-02,0-60,DE-SL,24
2022-11-02,0-60,DE-SN,98
2022-11-02,0-60,DE-ST,57
2022-11-02,0-60,DE-TH,46
2022-11-02,60+,DE-BB,347
2022-11-02,60+,DE-BE,301
2022-11-02,60+,DE-BW,637
2022-11-02,60+,DE-BY,1102
2022-11-02,60+,DE-HB,30
2022-11-02,60+,DE-HE,505
2022-11-02,60+,DE-HH,89
2022-11-02,60+,DE-MV,219
2022-11-02,60+,DE-NI,455
2022-11-02,60+,DE-NW,1764
2022-11-02,60+,DE-RP,263
2022-11-02,60+,DE-SH,265
2022-11-02,60+,DE-SL,113
2022-11-02,60+,DE-SN,434
2022-11-02,60+,DE-ST,280
2022-11-02,60+,DE-TH,247
2022-11-02,alle,DE-BB,437
2022-11-02,alle,DE-BE,411
2022-11-02,alle,DE-BW,789
2022-11-02,alle,DE-BY,1371
2022-11-02,alle,DE-HB,35
2022-11-02,alle,DE-HE,643
2022-11-02,alle,DE-HH,125
2022-11-02,alle,DE-MV,269
2022-11-02,alle,DE-NI,552
2022-11-02,alle,DE-NW,2310
2022-11-02,alle,DE-RP,350
2022-11-02,alle,DE-SH,325
2022-11-02,alle,DE-SL,137
2022-11-02,alle,DE-SN,532
2022-11-02,alle,DE-ST,337
2022-11-02,alle,DE-TH,293
2022-11-01,0-60,DE-BB,75
2022-11-01,0-60,DE-BE,111
2022-11-01,0-60,DE-BW,191
2022-11-01,0-60,DE-BY,334
2022-11-01,0-60,DE-HB,6
2022-11-01,0-60,DE-HE,150
2022-11-01,0-60,DE-HH,36
2022-11-01,0-60,DE-MV,50
2022-11-01,0-60,DE-NI,91
2022-11-01,0-60,DE-NW,641
2022-11-01,0-60,DE-RP,108
2022-11-01,0-60,DE-SH,64
2022-11-01,0-60,DE-SL,37
2022-11-01,0-60,DE-SN,82
2022-11-01,0-60,DE-ST,49
2022-11-01,0-60,DE-TH,48
2022-11-01,60+,DE-BB,303
2022-11-01,60+,DE-BE,322
2022-11-01,60+,DE-BW,775
2022-11-01,60+,DE-BY,1388
2022-11-01,60+,DE-HB,21
2022-11-01,60+,DE-HE,534
2022-11-01,60+,DE-HH,104
2022-11-01,60+,DE-MV,182
2022-11-01,60+,DE-NI,379
2022-11-01,60+,DE-NW,2106
2022-11-01,60+,DE-RP,330
2022-11-01,60+,DE-SH,270
2022-11-01,60+,DE-SL,145
2022-11-01,60+,DE-SN,396
2022-11-01,60+,DE-ST,247
2022-11-01,60+,DE-TH,237
2022-11-01,alle,DE-BB,378
2022-11-01,alle,DE-BE,433
2022-11-01,alle,DE-BW,972
2022-11-01,alle,DE-BY,1727
2022-11-01,alle,DE-HB,27
2022-11-01,alle,DE-HE,684
2022-11-01,alle,DE-HH,142
2022-11-01,alle,DE-MV,233
2022-11-01,alle,DE-NI,470
2022-11-01,alle,DE-NW,2753
2022-11-01,alle,DE-RP,439
2022-11-01,alle,DE-SH,335
2022-11-01,alle,DE-SL,182
2022-11-01,alle,DE-SN,478
2022-11-01,alle,DE-ST,296
2022-11-01,alle,DE-TH,285
2022-10-31,0-60,DE-BB,116
2022-10-31,0-60,DE-BE,108
2022-10-31,0-60,DE-BW,232
2022-10-31,0-60,DE-BY,376
2022-10-31,0-60,DE-HB,8
2022-10-31,0-60,DE-HE,158
2022-10-31,0-60,DE-HH,44
2022-10-31,0-60,DE-MV,62
2022-10-31,0-60,DE-NI,143
2022-10-31,0-60,DE-NW,677
2022-10-31,0-60,DE-RP,128
2022-10-31,0-60,DE-SH,77
2022-10-31,0-60,DE-SL,43
2022-10-31,0-60,DE-SN,101
2022-10-31,0-60,DE-ST,79
2022-10-31,0-60,DE-TH,67
2022-10-31,60+,DE-BB,445
2022-10-31,60+,DE-BE,328
2022-10-31,60+,DE-BW,907
2022-10-31,60+,DE-BY,1556
2022-10-31,60+,DE-HB,28
2022-10-31,60+,DE-HE,609
2022-10-31,60+,DE-HH,128
2022-10-31,60+,DE-MV,258
2022-10-31,60+,DE-NI,554
2022-10-31,60+,DE-NW,2305
2022-10-31,60+,DE-RP,380
2022-10-31,60+,DE-SH,348
2022-10-31,60+,DE-SL,169
2022-10-31,60+,DE-SN,499
2022-10-31,60+,DE-ST,353
2022-10-31,60+,DE-TH,335
2022-10-31,alle,DE-BB,561
2022-10-31,alle,DE-BE,436
2022-10-31,alle,DE-BW,1145
2022-10-31,alle,DE-BY,1937
2022-10-31,alle,DE-HB,36
2022-10-31,alle,DE-HE,767
2022-10-31,alle,DE-HH,174
2022-10-31,alle,DE-MV,321
2022-10-31,alle,DE-NI,697
2022-10-31,alle,DE-NW,2987
2022-10-31,alle,DE-RP,509
2022-10-31,alle,DE-SH,427
2022-10-31,alle,DE-SL,212
2022-10-31,alle,DE-SN,600
2022-10-31,alle,DE-ST,432
2022-10-31,alle,DE-TH,402
2022-10-30,0-60,DE-BB,117
2022-10-30,0-60,DE-BE,111
2022-10-30,0-60,DE-BW,238
2022-10-30,0-60,DE-BY,375
2022-10-30,0-60,DE-HB,8
2022-10-30,0-60,DE-HE,158
2022-10-30,0-60,DE-HH,43
2022-10-30,0-60,DE-MV,61
2022-10-30,0-60,DE-NI,143
2022-10-30,0-60,DE-NW,678
2022-10-30,0-60,DE-RP,128
2022-10-30,0-60,DE-SH,79
2022-10-30,0-60,DE-SL,43
2022-10-30,0-60,DE-SN,101
2022-10-30,0-60,DE-ST,78
2022-10-30,0-60,DE-TH,69
2022-10-30,60+,DE-BB,450
2022-10-30,60+,DE-BE,333
2022-10-30,60+,DE-BW,922
2022-10-30,60+,DE-BY,1553
2022-10-30,60+,DE-HB,28
2022-10-30,60+,DE-HE,614
2022-10-30,60+,DE-HH,131
2022-10-30,60+,DE-MV,263
2022-10-30,60+,DE-NI,552
2022-10-30,60+,DE-NW,2347
2022-10-30,60+,DE-RP,385
2022-10-30,60+,DE-SH,358
2022-10-30,60+,DE-SL,169
2022-10-30,60+,DE-SN,514
2022-10-30,60+,DE-ST,356
2022-10-30,60+,DE-TH,344
2022-10-30,alle,DE-BB,567
2022-10-30,alle,DE-BE,444
2022-10-30,alle,DE-BW,1166
2022-10-30,alle,DE-BY,1933
2022-10-30,alle,DE-HB,36
2022-10-30,alle,DE-HE,772
2022-10-30,alle,DE-HH,177
2022-10-30,alle,DE-MV,325
2022-10-30,alle,DE-NI,695
2022-10-30,alle,DE-NW,3031
2022-10-30,alle,DE-RP,514
2022-10-30,alle,DE-SH,439
2022-10-30,alle,DE-SL,212
2022-10-30,alle,DE-SN,615
2022-10-30,alle,DE-ST,434
2022-10-30,alle,DE-TH,413
2022-10-29,0-60,DE-BB,114
2022-10-29,0-60,DE-BE,110
2022-10-29,0-60,DE-BW,243
2022-10-29,0-60,DE-BY,378
2022-10-29,0-60,DE-HB,8
2022-10-29,0-60,DE-HE,163
2022-10-29,0-60,DE-HH,47
2022-10-29,0-60,DE-MV,64
2022-10-29,0-60,DE-NI,145
2022-10-29,0-60,DE-NW,707
2022-10-29,0-60,DE-RP,127
2022-10-29,0-60,DE-SH,78
2022-10-29,0-60,DE-SL,43
2022-10-29,0-60,DE-SN,97
2022-10-29,0-60,DE-ST,81
2022-10-29,0-60,DE-TH,70
2022-10-29,60+,DE-BB,453
2022-10-29,60+,DE-BE,334
2022-10-29,60+,DE-BW,951
2022-10-29,60+,DE-BY,1584
2022-10-29,60+,DE-HB,28
2022-10-29,60+,DE-HE,621
2022-10-29,60+,DE-HH,139
2022-10-29,60+,DE-MV,265
2022-10-29,60+,DE-NI,560
2022-10-29,60+,DE-NW,2359
2022-10-29,60+,DE-RP,384
2022-10-29,60+,DE-SH,363
2022-10-29,60+,DE-SL,169
2022-10-29,60+,DE-SN,520
2022-10-29,60+,DE-ST,359
2022-10-29,60+,DE-TH,346
2022-10-29,alle,DE-BB,567
2022-10-29,alle,DE-BE,444
2022-10-29,alle,DE-BW,1200
2022-10-29,alle,DE-BY,1968
2022-10-29,alle,DE-HB,36
2022-10-29,alle,DE-HE,784
2022-10-29,alle,DE-HH,189
2022-10-29,alle,DE-MV,330
2022-10-29,alle,DE-NI,705
2022-10-29,alle,DE-NW,3071
2022-10-29,alle,DE-RP,512
2022-10-29,alle,DE-SH,443
2022-10-29,alle,DE-SL,212
2022-10-29,alle,DE-SN,617
2022-10-29,alle,DE-ST,440
2022-10-29,alle,DE-TH,418
2022-10-28,0-60,DE-BB,121
2022-10-28,0-60,DE-BE,112
2022-10-28,0-60,DE-BW,256
2022-10-28,0-60,DE-BY,402
2022-10-28,0-60,DE-HB,9
2022-10-28,0-60,DE-HE,177
2022-10-28,0-60,DE-HH,50
2022-10-28,0-60,DE-MV,76
2022-10-28,0-60,DE-NI,150
2022-10-28,0-60,DE-NW,724
2022-10-28,0-60,DE-RP,132
2022-10-28,0-60,DE-SH,87
2022-10-28,0-60,DE-SL,54
2022-10-28,0-60,DE-SN,107
2022-10-28,0-60,DE-ST,83
2022-10-28,0-60,DE-TH,83
2022-10-28,60+,DE-BB,460
2022-10-28,60+,DE-BE,361
2022-10-28,60+,DE-BW,1010
2022-10-28,60+,DE-BY,1668
2022-10-28,60+,DE-HB,30
2022-10-28,60+,DE-HE,670
2022-10-28,60+,DE-HH,146
2022-10-28,60+,DE-MV,274
2022-10-28,60+,DE-NI,584
2022-10-28,60+,DE-NW,2404
2022-10-28,60+,DE-RP,419
2022-10-28,60+,DE-SH,386
2022-10-28,60+,DE-SL,196
2022-10-28,60+,DE-SN,555
2022-10-28,60+,DE-ST,391
2022-10-28,60+,DE-TH,366
2022-10-28,alle,DE-BB,581
2022-10-28,alle,DE-BE,473
2022-10-28,alle,DE-BW,1273
2022-10-28,alle,DE-BY,2078
2022-10-28,alle,DE-HB,39
2022-10-28,alle,DE-HE,847
2022-10-28,alle,DE-HH,199
2022-10-28,alle,DE-MV,351
2022-10-28,alle,DE-NI,734
2022-10-28,alle,DE-NW,3132
2022-10-28,alle,DE-RP,551
2022-10-28,alle,DE-SH,474
2022-10-28,alle,DE-SL,250
2022-10-28,alle,DE-SN,662
2022-10-28,alle,DE-ST,474
2022-10-28,alle,DE-TH,451
2022-10-27,0-60,DE-BB,126
2022-10-27,0-60,DE-BE,115
2022-10-27,0-60,DE-BW,266
2022-10-27,0-60,DE-BY,441
2022-10-27,0-60,DE-HB,9
2022-10-27,0-60,DE-HE,182
2022-10-27,0-60,DE-HH,59
2022-10-27,0-60,DE-MV,80
2022-10-27,0-60,DE-NI,162
2022-10-27,0-60,DE-NW,736
2022-10-27,0-60,DE-RP,135
2022-10-27,0-60,DE-SH,91
2022-10-27,0-60,DE-SL,64
2022-10-27,0-60,DE-SN,111
2022-10-27,0-60,DE-ST,93
2022-10-27,0-60,DE-TH,84
2022-10-27,60+,DE-BB,478
2022-10-27,60+,DE-BE,360
2022-10-27,60+,DE-BW,1069
2022-10-27,60+,DE-BY,1790
2022-10-27,60+,DE-HB,28
2022-10-27,60+,DE-HE,696
2022-10-27,60+,DE-HH,164
2022-10-27,60+,DE-MV,309
2022-10-27,60+,DE-NI,605
2022-10-27,60+,DE-NW,2464
2022-10-27,60+,DE-RP,454
2022-10-27,60+,DE-SH,405
2022-10-27,60+,DE-SL,206
2022-10-27,60+,DE-SN,578
2022-10-27,60+,DE-ST,406
2022-10-27,60+,DE-TH,391
2022-10-27,alle,DE-BB,604
2022-10-27,alle,DE-BE,475
2022-10-27,alle,DE-BW,1341
2022-10-27,alle,DE-BY,2240
2022-10-27,alle,DE-HB,37
2022-10-27,alle,DE-HE,878
2022-10-27,alle,DE-HH,227
2022-10-27,alle,DE-MV,389
2022-10-27,alle,DE-NI,767
2022-10-27,alle,DE-NW,3205
2022-10-27,alle,DE-RP,589
2022-10-27,alle,DE-SH,497
2022-10-27,alle,DE-SL,270
2022-10-27,alle,DE-SN,689
2022-10-27,alle,DE-ST,499
2022-10-27,alle,DE-TH,477
2022-10-26,0-60,DE-BB,129
2022-10-26,0-60,DE-BE,102
2022-10-26,0-60,DE-BW,293
2022-10-26,0-60,DE-BY,494
2022-10-26,0-60,DE-HB,9
2022-10-26,0-60,DE-HE,200
2022-10-26,0-60,DE-HH,55
2022-10-26,0-60,DE-MV,76
2022-10-26,0-60,DE-NI,176
2022-10-26,0-60,DE-NW,750
2022-10-26,0-60,DE-RP,142
2022-10-26,0-60,DE-SH,96
2022-10-26,0-60,DE-SL,72
2022-10-26,0-60,DE-SN,109
2022-10-26,0-60,DE-ST,94
2022-10-26,0-60,DE-TH,93
2022-10-26,60+,DE-BB,469
2022-10-26,60+,DE-BE,378
2022-10-26,60+,DE-BW,1120
2022-10-26,60+,DE-BY,1895
2022-10-26,60+,DE-HB,31
2022-10-26,60+,DE-HE,748
2022-10-26,60+,DE-HH,173
2022-10-26,60+,DE-MV,319
2022-10-26,60+,DE-NI,609
2022-10-26,60+,DE-NW,2594
2022-10-26,60+,DE-RP,473
2022-10-26,60+,DE-SH,415
2022-10-26,60+,DE-SL,231
2022-10-26,60+,DE-SN,596
2022-10-26,60+,DE-ST,430
2022-10-26,60+,DE-TH,414
2022-10-26,alle,DE-BB,598
2022-10-26,alle,DE-BE,480
2022-10-26,alle,DE-BW,1416
2022-10-26,alle,DE-BY,2396
2022-10-26,alle,DE-HB,40
2022-10-26,alle,DE-HE,948
2022-10-26,alle,DE-HH,232
2022-10-26,alle,DE-MV,395
2022-10-26,alle,DE-NI,785
2022-10-26,alle,DE-NW,3348
2022-10-26,alle,DE-RP,616
2022-10-26,alle,DE-SH,512
2022-10-26,alle,DE-SL,303
2022-10-26,alle,DE-SN,705
2022-10-26,alle,DE-ST,524
2022-10-26,alle,DE-TH,509
2022-10-25,0-60,DE-BB,147
2022-10-25,0-60,DE-BE,103
2022-10-25,0-60,DE-BW,300
2022-10-25,0-60,DE-BY,528
2022-10-25,0-60,DE-HB,8
2022-10-25,0-60,DE-HE,207
2022-10-25,0-60,DE-HH,51
2022-10-25,0-60,DE-MV,77
2022-10-25,0-60,DE-NI,194
2022-10-25,0-60,DE-NW,789
2022-10-25,0-60,DE-RP,146
2022-10-25,0-60,DE-SH,109
2022-10-25,0-60,DE-SL,76
2022-10-25,0-60,DE-SN,139
2022-10-25,0-60,DE-ST,98
2022-10-25,0-60,DE-TH,99
2022-10-25,60+,DE-BB,508
2022-10-25,60+,DE-BE,395
2022-10-25,60+,DE-BW,1224
2022-10-25,60+,DE-BY,2094
2022-10-25,60+,DE-HB,34
2022-10-25,60+,DE-HE,819
2022-10-25,60+,DE-HH,180
2022-10-25,60+,DE-MV,327
2022-10-25,60+,DE-NI,656
2022-10-25,60+,DE-NW,2733
2022-10-25,60+,DE-RP,562
2022-10-25,60+,DE-SH,427
2022-10-25,60+,DE-SL,253
2022-10-25,60+,DE-SN,653
2022-10-25,60+,DE-ST,462
2022-10-25,60+,DE-TH,438
2022-10-25,alle,DE-BB,655
2022-10-25,alle,DE-BE,498
2022-10-25,alle,DE-BW,1528
2022-10-25,alle,DE-BY,2630
2022-10-25,alle,DE-HB,42
2022-10-25,alle,DE-HE,1026
2022-10-25,alle,DE-HH,233
2022-10-25,alle,DE-MV,404
2022-10-25,alle,DE-NI,850
2022-10-25,alle,DE-NW,3524
2022-10-25,alle,DE-RP,712
2022-10-25,alle,DE-SH,537
2022-10-25,alle,DE-SL,329
2022-10-25,alle,DE-SN,792
2022-10-25,alle,DE-ST,560
2022-10-25,alle,DE-TH,539
2022-10-24,0-60,DE-BB,149
2022-10-24,0-60,DE-BE,104
2022-10-24,0-60,DE-BW,314
2022-10-24,0-60,DE-BY,587
2022-10-24,0-60,DE-HB,16
2022-10-24,0-60,DE-HE,212
2022-10-24,0-60,DE-HH,54
2022-10-24,0-60,DE-MV,77
2022-10-24,0-60,DE-NI,196
2022-10-24,0-60,DE-NW,806
2022-10-24,0-60,DE-RP,138
2022-10-24,0-60,DE-SH,120
2022-10-24,0-60,DE-SL,89
2022-10-24,0-60,DE-SN,174
2022-10-24,0-60,DE-ST,93
2022-10-24,0-60,DE-TH,103
2022-10-24,60+,DE-BB,547
2022-10-24,60+,DE-BE,456
2022-10-24,60+,DE-BW,1346
2022-10-24,60+,DE-BY,2306
2022-10-24,60+,DE-HB,41
2022-10-24,60+,DE-HE,877
2022-10-24,60+,DE-HH,184
2022-10-24,60+,DE-MV,330
2022-10-24,60+,DE-NI,701
2022-10-24,60+,DE-NW,2865
2022-10-24,60+,DE-RP,578
2022-10-24,60+,DE-SH,459
2022-10-24,60+,DE-SL,300
2022-10-24,60+,DE-SN,770
2022-10-24,60+,DE-ST,497
2022-10-24,60+,DE-TH,452
2022-10-24,alle,DE-BB,697
2022-10-24,alle,DE-BE,560
2022-10-24,alle,DE-BW,1664
2022-10-24,alle,DE-BY,2900
2022-10-24,alle,DE-HB,57
2022-10-24,alle,DE-HE,1090
2022-10-24,alle,DE-HH,240
2022-10-24,alle,DE-MV,407
2022-10-24,alle,DE-NI,897
2022-10-24,alle,DE-NW,3674
2022-10-24,alle,DE-RP,723
2022-10-24,alle,DE-SH,579
2022-10-24,alle,DE-SL,389
2022-10-24,alle,DE-SN,944
2022-10-24,alle,DE-ST,590
2022-10-24,alle,DE-TH,558
2022-10-23,0-60,DE-BB,149
2022-10-23,0-60,DE-BE,101
2022-10-23,0-60,DE-BW,318
2022-10-23,0-60,DE-BY,595
2022-10-23,0-60,DE-HB,16
2022-10-23,0-60,DE-HE,219
2022-10-23,0-60,DE-HH,53
2022-10-23,0-60,DE-MV,78
2022-10-23,0-60,DE-NI,196
2022-10-23,0-60,DE-NW,814
2022-10-23,0-60,DE-RP,140
2022-10-23,0-60,DE-SH,119
2022-10-23,0-60,DE-SL,89
2022-10-23,0-60,DE-SN,188
2022-10-23,0-60,DE-ST,94
2022-10-23,0-60,DE-TH,105
2022-10-23,60+,DE-BB,548
2022-10-23,60+,DE-BE,453
2022-10-23,60+,DE-BW,1359
2022-10-23,60+,DE-BY,2347
2022-10-23,60+,DE-HB,42
2022-10-23,60+,DE-HE,888
2022-10-23,60+,DE-HH,181
2022-10-23,60+,DE-MV,321
2022-10-23,60+,DE-NI,694
2022-10-23,60+,DE-NW,2875
2022-10-23,60+,DE-RP,580
2022-10-23,60+,DE-SH,451
2022-10-23,60+,DE-SL,300
2022-10-23,60+,DE-SN,781
2022-10-23,60+,DE-ST,491
2022-10-23,60+,DE-TH,446
2022-10-23,alle,DE-BB,698
2022-10-23,alle,DE-BE,554
2022-10-23,alle,DE-BW,1682
2022-10-23,alle,DE-BY,2949
2022-10-23,alle,DE-HB,58
2022-10-23,alle,DE-HE,1108
2022-10-23,alle,DE-HH,235
2022-10-23,alle,DE-MV,399
2022-10-23,alle,DE-NI,890
2022-10-23,alle,DE-NW,3691
2022-10-23,alle,DE-RP,727
2022-10-23,alle,DE-SH,570
2022-10-23,alle,DE-SL,389
2022-10-23,alle,DE-SN,969
2022-10-23,alle,DE-ST,585
2022-10-23,alle,DE-TH,554
2022-10-22,0-60,DE-BB,150
2022-10-22,0-60,DE-BE,100
2022-10-22,0-60,DE-BW,317
2022-10-22,0-60,DE-BY,610
2022-10-22,0-60,DE-HB,16
2022-10-22,0-60,DE-HE,220
2022-10-22,0-60,DE-HH,51
2022-10-22,0-60,DE-MV,80
2022-10-22,0-60,DE-NI,198
2022-10-22,0-60,DE-NW,796
2022-10-22,0-60,DE-RP,138
2022-10-22,0-60,DE-SH,122
2022-10-22,0-60,DE-SL,89
2022-10-22,0-60,DE-SN,194
2022-10-22,0-60,DE-ST,92
2022-10-22,0-60,DE-TH,109
2022-10-22,60+,DE-BB,559
2022-10-22,60+,DE-BE,455
2022-10-22,60+,DE-BW,1373
2022-10-22,60+,DE-BY,2361
2022-10-22,60+,DE-HB,42
2022-10-22,60+,DE-HE,905
2022-10-22,60+,DE-HH,189
2022-10-22,60+,DE-MV,326
2022-10-22,60+,DE-NI,695
2022-10-22,60+,DE-NW,2911
2022-10-22,60+,DE-RP,589
2022-10-22,60+,DE-SH,453
2022-10-22,60+,DE-SL,300
2022-10-22,60+,DE-SN,791
2022-10-22,60+,DE-ST,487
2022-10-22,60+,DE-TH,449
2022-10-22,alle,DE-BB,710
2022-10-22,alle,DE-BE,555
2022-10-22,alle,DE-BW,1695
2022-10-22,alle,DE-BY,2977
2022-10-22,alle,DE-HB,58
2022-10-22,alle,DE-HE,1126
